Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	kappa.s:h3n2_2deme	gammaShape.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4
0	-7333.540485250417	-7222.085057578316	-111.45542767210064	-7222.085057578316	8.86780525350588	45.965668446830776	21.084417872884774	24.881250573945998	22	28	36	23	1	1.0	1.0	1.0	1.0	0.005	2.0	1.0	0.25	0.25	0.25	0.25
1000	-6258.870604239139	-6085.887565514394	-172.9830387247444	-6085.887565514394	8.326952755781871	62.8396574632696	31.190135963892477	31.64952149937715	33	33	30	29	1	1.2634667318275343	1.3545286328677881	0.7727814239504455	1.0179725425265653	0.0055897599206038585	2.0	1.0	0.25	0.25	0.25	0.25
2000	-5953.206451635167	-5784.649917487675	-168.5565341474908	-5784.649917487675	7.5034732098366375	61.46592475909317	36.80402206475736	24.661902694335815	26	27	30	29	0	1.6778899771257776	1.3505132911663595	0.8056911544088999	1.225139547263138	0.004913961526096375	2.0	0.9139145886922582	0.25	0.25	0.25	0.25
3000	-5544.248818444998	-5401.352554421986	-142.89626402301224	-5401.352554421986	7.366344426791689	54.654442318048744	33.26800544663488	21.386436871413846	26	24	27	32	0	2.25360803791613	1.0773846410958667	0.8641086011709416	1.2780271616092893	0.004741773858110343	2.0	0.9139145886922582	0.25	0.25	0.25	0.25
4000	-5376.433242614552	-5231.12269834727	-145.31054426728187	-5231.12269834727	7.004242138882987	55.154054768620874	32.90190732114329	22.252147447477594	28	21	23	36	1	2.7692950861706542	1.0724072964340952	1.0029645868260988	1.18557967936212	0.004007525610078473	2.160574702227705	0.5976987007702512	0.2550502147103031	0.25	0.25	0.2449497852896969
5000	-5149.475382121707	-5003.583048864092	-145.8923332576146	-5003.583048864092	7.223613239442588	53.32550406134078	27.739842655917798	25.58566140542299	33	28	25	34	1	2.343701627931069	1.5016828950361185	1.5563837720016582	1.1691419361041209	0.0033668402432730856	2.7003135332717454	0.5976987007702512	0.2550502147103031	0.25	0.25	0.2449497852896969
6000	-5023.146039060809	-4871.457766271965	-151.68827278884422	-4871.457766271965	7.30399200700535	55.03525410920571	26.133552313611716	28.90170179559401	38	32	24	35	1	1.7439938146985174	1.4966301591997226	1.3518232370572159	1.3302394109923554	0.00359867151448668	3.4209837893027824	0.5976987007702512	0.2637446117159144	0.2413056029943887	0.25	0.2449497852896969
7000	-4925.199362247705	-4791.248584206397	-133.95077804130807	-4791.248584206397	8.079707686778248	50.85528463510286	25.932981380575104	24.92230325452777	33	28	25	34	1	1.799923731942417	1.4005261635146145	1.570648833653342	1.1708431749820154	0.003603498013526177	8.597220536213024	0.5976987007702512	0.2637446117159144	0.23420182564880906	0.25	0.25205356263527656
8000	-4891.1508870057405	-4757.882211365876	-133.26867563986428	-4757.882211365876	7.276894419889824	50.00060966986585	24.085726971732807	25.914882698133017	36	29	23	36	1	1.4210906801327954	1.2297196680322273	1.9722914626672003	1.090598484657448	0.003476380527026342	8.597220536213024	0.41734511613423003	0.26444974160353996	0.23420182564880906	0.24929487011237447	0.25205356263527656
9000	-4810.556395248918	-4668.58862204229	-141.9677732066288	-4668.58862204229	7.259365861808075	52.52775158110306	22.68738037666362	29.84037120443943	35	25	20	39	1	1.498737795371443	1.5312279470965402	1.7169340779778732	1.007603014967772	0.003965251290038929	8.597220536213024	0.3735560675960404	0.2681051038275388	0.23420182564880906	0.2456395078883756	0.25205356263527656
