Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	proportionInvariant.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4	
0	-7661.046235954761	-7534.927415273683	-126.11882068107745	-7534.927415273683	13.864401330543455	58.03249826024836	26.12347780249057	31.909020457757794	36	25	19	40	1	1.0	1.0	1.0	1.0	0.005	0.001	2.0	0.25	0.25	0.25	0.25	
1000	-6404.215065085774	-6220.641247645151	-183.57381744062246	-6220.641247645151	6.403802363158269	62.104344919500036	35.11960923588958	26.984735683610474	28	24	25	34	0	2.0657655626678646	1.756421480524959	0.8365913765735132	0.6914064576761254	0.005394047896310611	0.0021638882241259536	2.0	0.25918784957314583	0.25	0.24081215042685417	0.25	
2000	-5550.585389278759	-5372.440882842754	-178.14450643600546	-5372.440882842754	6.532932628194645	59.717473934009014	28.24138688394431	31.47608705006471	28	23	24	35	0	2.3313641384409634	1.8918366110369584	1.145830534830526	0.9335640888972031	0.004025570956713875	0.0021638882241259536	2.0	0.25918784957314583	0.25	0.24081215042685417	0.25	
3000	-5375.647764953872	-5220.660137718789	-154.98762723508287	-5220.660137718789	6.64821925364628	54.26920382940383	29.74988167138383	24.519322158019996	37	28	21	38	1	3.1680091268416923	1.874607125994486	0.9555717277601158	1.084537504491989	0.0041690153435618655	0.0021754262772820223	2.0	0.26406719456193567	0.25	0.23593280543806433	0.25	
4000	-5154.323091883538	-5006.907119236501	-147.41597264703694	-5006.907119236501	6.820230580090284	52.01219727269019	29.562726718448104	22.449470554242104	31	27	25	34	0	3.0931731924441	1.7564222255932496	0.9449035536672399	1.2198399350412625	0.004265862786659437	0.0014852741880036174	2.9014334998295186	0.26406719456193567	0.24711802647968154	0.23593280543806433	0.25288197352031844	
5000	-5097.35648293506	-4945.2717486552565	-152.0847342798036	-4945.2717486552565	6.706062864131101	52.61985317418672	30.25487691446469	22.364976259722035	25	21	26	33	1	4.612530686421211	1.5402319812095504	0.9539039119838931	0.7454982671443702	0.00400756128901532	0.00208190338719619	2.9014334998295186	0.26514265229329714	0.24604256874832006	0.23593280543806433	0.25288197352031844	
6000	-4982.492894170836	-4836.006355394985	-146.48653877585093	-4836.006355394985	6.686354051416058	52.911502331356076	33.452494620620556	19.459007710735516	19	17	28	31	1	3.2851861013997987	1.3825959472982516	0.6698971271391332	0.8752125317861431	0.0033630805443558673	0.004038305205446017	2.9014334998295186	0.26840216267750133	0.24604256874832006	0.24081218042511054	0.244743088149068	
7000	-4931.833908193937	-4787.501511954872	-144.332396239065	-4787.501511954872	7.274024275107126	53.07583358276081	29.908173793127773	23.167659789633017	20	20	29	30	0	2.1669923618676523	1.542936439099984	0.8459053522562389	1.0879689967332844	0.003362757748339168	0.004038305205446017	2.9014334998295186	0.26840216267750133	0.24604256874832006	0.24081218042511054	0.244743088149068	
8000	-4902.544697447021	-4764.227653201925	-138.31704424509527	-4764.227653201925	7.441173104917523	51.771682899145205	28.821229772834545	22.950453126310652	18	20	32	27	1	2.163096811049647	1.2916619098999365	0.7349525389008035	0.8696201450879493	0.0038996823125104644	0.004568049709465844	2.9014334998295186	0.26840216267750133	0.24604256874832006	0.24081218042511054	0.244743088149068	
9000	-4846.308922156238	-4711.094282435161	-135.21463972107637	-4711.094282435161	7.219282747709114	50.72343756623849	31.24132442983544	19.482113136403054	14	19	34	25	0	2.494995055670058	1.283866289181303	0.6641647304981493	0.9255837202095105	0.003918673957710609	0.004568049709465844	3.158065653786636	0.26946670436441683	0.24604256874832006	0.24081218042511054	0.2436785464621525	
10000	-4768.949254661007	-4625.63963108943	-143.30962357157713	-4625.63963108943	7.054842851250589	52.11936431422993	33.39915011618919	18.720214198040736	17	24	37	22	1	2.3882428918915855	1.2302564110991128	0.6863395793453009	0.9382950921192013	0.003493107983146127	0.004246386209626124	3.158065653786636	0.2707104642115898	0.24479880890114714	0.24081218042511054	0.2436785464621525	
11000	-4728.883416402371	-4588.133842375052	-140.74957402731894	-4588.133842375052	7.174018230867556	49.12081303121883	31.223475371354965	17.897337659863865	17	25	37	22	0	3.017718239371583	1.0841593014942068	0.6994848935820498	1.0308254148944154	0.003269032348004246	0.004246386209626124	7.5235786764232015	0.2707104642115898	0.24479880890114714	0.24023943158489586	0.2442512953023672	
12000	-4714.978160818603	-4583.235669020626	-131.74249179797695	-4583.235669020626	7.562268411878574	48.971686262424214	30.81871787823233	18.15296838419188	17	21	34	25	1	2.750537353911408	0.8609905609169258	0.8414763943994172	1.1427523035499758	0.0034893706900038495	0.004246386209626124	7.5235786764232015	0.2707104642115898	0.24479880890114714	0.24023943158489586	0.2442512953023672	
13000	-4699.115641210234	-4578.03253690206	-121.08310430817372	-4578.03253690206	7.250800284893269	49.23960797560236	33.963475453675144	15.27613252192722	13	18	34	25	0	2.1066154938379813	0.7398029072239635	0.6265551323526634	0.963177908371967	0.0034966083453411402	0.004246386209626124	7.5235786764232015	0.2707104642115898	0.24479880890114714	0.24023943158489586	0.2442512953023672	
14000	-4694.101142947856	-4576.2702418028075	-117.83090114504856	-4576.2702418028075	7.3682200541981215	48.06239373509224	33.495363297832206	14.56703043726004	12	17	35	24	1	1.5373255307291411	0.629248665093109	0.4353302693815397	1.5321652863508723	0.003899558994479875	0.001568130945958264	7.5235786764232015	0.2707104642115898	0.24479880890114714	0.24023943158489586	0.2442512953023672	
15000	-4688.565214409312	-4570.632167672065	-117.93304673724676	-4570.632167672065	7.426248749833472	48.13136303800523	35.12102158803185	13.010341449973382	17	24	37	22	1	2.1364486868806614	0.6312044397963228	0.45973477025279386	1.4482106868824998	0.0035739339887605887	0.001568130945958264	7.5235786764232015	0.26977896323507794	0.24479880890114714	0.2411709325614077	0.2442512953023672	
16000	-4676.449804794007	-4556.981545454605	-119.4682593394022	-4556.981545454605	7.666282699668116	47.11023969063876	30.50208404815819	16.608155642480572	17	21	33	26	0	1.5641313773683894	0.6262421602908095	0.40455430326119424	1.2983759842827796	0.0034019020090251344	0.001568130945958264	7.5235786764232015	0.279685157636587	0.23489261449963805	0.23168741798290937	0.25373480988086555	
17000	-4668.094374062281	-4552.22255975206	-115.87181431022034	-4552.22255975206	7.561243248074943	46.63540569914014	31.73878317225546	14.896622526884695	19	23	33	26	0	2.9553351314345693	0.597691632102321	0.4890656873884506	1.1909443677753295	0.0040369577125098765	0.001568130945958264	7.5235786764232015	0.28444521795518707	0.21564610151762503	0.2381738678721735	0.2617348126550144	
18000	-4658.30845024076	-4557.553879294619	-100.75457094614083	-4557.553879294619	7.205808965263692	44.78249829587661	32.17656632459026	12.605931971286317	6	12	35	24	0	2.8990499921839854	0.47896559603559763	0.3177085317793883	1.0437228120679634	0.0036989826263659252	0.001568130945958264	6.7004822410094445	0.2857273370600024	0.21564610151762503	0.2368917487673582	0.2617348126550144	
19000	-4650.83841112998	-4546.124727604446	-104.71368352553412	-4546.124727604446	7.514670220471462	45.67009881615016	32.43229264819055	13.237806167959608	9	15	35	24	0	2.3615205060572086	0.37078416904060346	0.3874530530845925	0.9683088132147862	0.004087472381687847	0.00545200542975208	6.7004822410094445	0.2857273370600024	0.22232040058783548	0.2368917487673582	0.25506051358480397	
20000	-4644.35460627887	-4542.220756571395	-102.13384970747475	-4542.220756571395	7.471329631265047	47.3611215605445	35.16513071803634	12.195990842508163	9	15	36	23	1	2.7096589281518635	0.425986383492308	0.24856332111025833	1.2860612667473053	0.003481603406491646	0.003365063633583451	6.7004822410094445	0.2898198601409128	0.22232040058783548	0.23279922568644776	0.25506051358480397	
21000	-4648.1574609168565	-4549.899465030812	-98.25799588604401	-4549.899465030812	7.565581647158444	47.18765035128724	39.13440799545286	8.053242355834353	4	13	38	21	0	2.3867674085504236	0.29026573796325605	0.2365198777448276	1.5989888002977561	0.003380473634281911	0.006220236438030508	6.7004822410094445	0.28993636156798147	0.22232040058783548	0.23279922568644776	0.2549440121577353	
22000	-4642.282987776382	-4546.9278287200195	-95.35515905636166	-4546.9278287200195	7.383523995071028	46.971145980029405	37.284205741595166	9.686940238434236	6	14	37	22	0	1.980380230025559	0.27581140783324015	0.1919423473567259	1.9290304330801498	0.003587404374854708	0.008871253906569437	6.7004822410094445	0.29910464752135535	0.21315211463446163	0.23705220331315918	0.25069103453102387	
23000	-4645.072151937336	-4541.1484769642575	-103.92367497307798	-4541.1484769642575	7.441658738242645	50.25896219447684	41.657758448143795	8.60120374633303	5	15	39	20	0	3.007436877346648	0.4114819059021632	0.23873759683688184	1.7323326979608151	0.0033026448166370054	0.008871253906569437	6.7004822410094445	0.29910464752135535	0.21315211463446163	0.23705220331315918	0.25069103453102387	
